[Gene ID]	[source_id]	[Min %ile (Within Chosen Samples)]	[Max %ile (Within Chosen Samples)]	[Gene Name or Symbol]	[gene_source_id]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 5]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 10]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 15]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 20]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 25]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 30]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 35]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 40]	[scaled  - Hour 5]	[scaled  - Hour 10]	[scaled  - Hour 15]	[scaled  - Hour 20]	[scaled  - Hour 25]	[scaled  - Hour 30]	[scaled  - Hour 35]	[scaled  - Hour 40]	
PF3D7_0715900	PF3D7_0715900.1	30.6	30.6	CDF	PF3D7_0715900	4.39	1.78	0.82	2.4	24.72	91.29	137.62	128.97	0.28	0.09	0.05	0.43	15.91	81.45	137.62	59.78	
PF3D7_0716000	PF3D7_0716000.1	83.2	83.2	N/A	PF3D7_0716000	84.77	216.01	216.32	192.13	195.29	219.66	201.94	95.38	5.37	11.12	13.92	34.62	125.68	195.96	201.94	44.21	
PF3D7_0716100	PF3D7_0716100.1	84.5	84.5	SDA1	PF3D7_0716100	92.44	179.2	196.69	195.76	176.27	121.62	63.53	21.53	5.85	9.23	12.66	35.27	113.44	108.5	63.53	9.98	
PF3D7_0716200	PF3D7_0716200.1	87.5	87.5	N/A	PF3D7_0716200	126.49	251.73	250.61	165.73	91.86	70.37	69.02	27.77	8.01	12.96	16.13	29.86	59.12	62.78	69.02	12.87	
PF3D7_0716300	PF3D7_0716300.1	72.2	72.2	N/A	PF3D7_0716300	38.64	18.39	21.78	112.02	438.4	770.27	1225.14	1200.02	2.45	0.95	1.4	20.19	282.13	687.18	1225.14	556.2	
PF3D7_0716400	PF3D7_0716400.1	72.5	72.5	N/A	PF3D7_0716400	39.4	68.34	82.67	82.39	58.34	221.56	460.37	473.44	2.49	3.52	5.32	14.85	37.55	197.66	460.37	219.44	
PF3D7_0716500	PF3D7_0716500.1	28.6	28.6	N/A	PF3D7_0716500	3.95	3.03	2.64	6.13	30.43	57.59	48.65	42.78	0.25	0.16	0.17	1.1	19.59	51.38	48.65	19.83	
PF3D7_0716600	PF3D7_0716600.1	20.2	20.2	SufS	PF3D7_0716600	2.36	1.81	1.44	5.31	12.01	16.91	19.98	15.28	0.15	0.09	0.09	0.96	7.73	15.09	19.98	7.08	
PF3D7_0716700	PF3D7_0716700.1	17.6	17.6	N/A	PF3D7_0716700	1.96	1.22	1.33	2.17	8.61	15.83	11.86	6.66	0.12	0.06	0.09	0.39	5.54	14.12	11.86	3.09	
PF3D7_0716800	PF3D7_0716800.1	82.3	82.3	EIF3I	PF3D7_0716800	76.95	205.49	271.92	340.23	385.39	381.98	267.18	153.16	4.87	10.58	17.5	61.31	248.02	340.78	267.18	70.99	
PF3D7_0716900	PF3D7_0716900.1	45.7	45.7	DMT2	PF3D7_0716900	9.46	25.96	40.13	59.18	87.23	90.3	73.88	50	0.6	1.34	2.58	10.66	56.13	80.56	73.88	23.18	
PF3D7_0717000	PF3D7_0717000.1	43.3	43.3	N/A	PF3D7_0717000	8.41	5.73	3.83	2.51	6.37	22.32	51.57	109.19	0.53	0.29	0.25	0.45	4.1	19.91	51.57	50.61	
PF3D7_0717100	PF3D7_0717100.1	37.5	37.5	N/A	PF3D7_0717100	6.29	3.92	5.95	19.97	49.29	69.08	76.47	58.76	0.4	0.2	0.38	3.6	31.72	61.63	76.47	27.24	
PF3D7_0717200	PF3D7_0717200.1	83.7	83.7	N/A	PF3D7_0717200	87.91	33.95	19.09	24.01	27.21	39.48	60.78	117.23	5.56	1.75	1.23	4.33	17.51	35.22	60.78	54.34	
PF3D7_0717300	PF3D7_0717300.1	88.7	88.7	N/A	PF3D7_0717300	144.17	49.24	47.39	67.23	82.36	71.61	64.8	58.62	9.13	2.54	3.05	12.11	53	63.89	64.8	27.17	
PF3D7_0717400	PF3D7_0717400.1	80.9	80.9	N/A	PF3D7_0717400	69.34	104.66	154.77	176.29	157.42	96.31	38.6	19.98	4.39	5.39	9.96	31.77	101.31	85.92	38.6	9.26	
PF3D7_0717500	PF3D7_0717500.1	92.6	92.6	CDPK4	PF3D7_0717500	239.77	84.98	45.79	50.94	53.05	31.11	39.88	156.86	15.18	4.38	2.95	9.18	34.14	27.75	39.88	72.7	
PF3D7_0717600	PF3D7_0717600.1	57.3	57.3	N/A	PF3D7_0717600	16.69	4.85	2.2	1.52	5.03	17.49	47.44	74.57	1.06	0.25	0.14	0.27	3.23	15.6	47.44	34.56	
PF3D7_0717700	PF3D7_0717700.1	72.7	72.7	N/A	PF3D7_0717700	39.63	122.59	192.2	230.1	202.05	249.48	263.46	202.53	2.51	6.31	12.37	41.46	130.03	222.57	263.46	93.87	
PF3D7_0717800	PF3D7_0717800.1	21.6	21.6	N/A	PF3D7_0717800	2.55	1.79	1.9	7.01	16.08	10.31	7.46	3.74	0.16	0.09	0.12	1.26	10.35	9.2	7.46	1.73	
PF3D7_0717900	PF3D7_0717900.1	32.4	32.4	N/A	PF3D7_0717900	4.76	7.61	15.2	39.94	71.62	61.05	44.5	19.41	0.3	0.39	0.98	7.2	46.09	54.47	44.5	8.99	
PF3D7_0718000	PF3D7_0718000.1	8.5	8.5	N/A	PF3D7_0718000	0.63	0.7	0.6	0.65	1.22	1.49	1.15	0.77	0.04	0.04	0.04	0.12	0.79	1.33	1.15	0.36	
PF3D7_0718100	PF3D7_0718100.1	26.4	26.4	EST	PF3D7_0718100	3.48	3.1	1.63	1.59	7.92	31.97	50.36	30.6	0.22	0.16	0.1	0.29	5.1	28.52	50.36	14.18	
PF3D7_0718300	PF3D7_0718300.1	11.6	11.6	CRMP2	PF3D7_0718300	1.11	0.41	0.3	0.23	0.22	0.31	0.32	0.3	0.07	0.02	0.02	0.04	0.14	0.27	0.32	0.14	
PF3D7_0718400	PF3D7_0718400.1	82.8	82.8	N/A	PF3D7_0718400	81	41.84	28.45	69.51	164.5	214.32	183.56	185.16	5.13	2.15	1.83	12.52	105.87	191.2	183.56	85.82	
PF3D7_0718500	PF3D7_0718500.1	70.6	70.6	N/A	PF3D7_0718500	35.2	64.62	94.8	139.78	213.46	285.25	272.46	262.89	2.23	3.33	6.1	25.19	137.37	254.48	272.46	121.85	
PF3D7_0718600	PF3D7_0718600.1	60.6	60.6	N/A	PF3D7_0718600	19.77	8.73	2.47	2.43	5.35	18.56	14.29	9.01	1.25	0.45	0.16	0.44	3.44	16.56	14.29	4.18	
PF3D7_0718700	PF3D7_0718700.1	14.1	14.1	N/A	PF3D7_0718700	1.48	0.59	0.93	2.78	21.27	26.52	21.73	12.92	0.09	0.03	0.06	0.5	13.69	23.66	21.73	5.99	
PF3D7_0718800	PF3D7_0718800.1	9.2	9.2	N/A	PF3D7_0718800	0.74	0.66	0.36	0.48	0.81	1.03	1.1	0.69	0.05	0.03	0.02	0.09	0.52	0.92	1.1	0.32	
PF3D7_0718900	PF3D7_0718900.1	4.3	4.3	N/A	PF3D7_0718900	0.14	0.9	1.11	0.69	0.59	0.3	0.89	0.4	0.01	0.05	0.07	0.13	0.38	0.27	0.89	0.19	
PF3D7_0719000	PF3D7_0719000.1	50.8	50.8	N/A	PF3D7_0719000	12.35	47.03	106.06	123.92	164.13	184.13	140.75	62.6	0.78	2.42	6.83	22.33	105.63	164.27	140.75	29.02	
PF3D7_0719100	PF3D7_0719100.1	43.9	43.9	N/A	PF3D7_0719100	8.68	16.36	30.55	32.44	45.22	76.12	113.19	88.86	0.55	0.84	1.97	5.85	29.1	67.91	113.19	41.19	
PF3D7_0719200	PF3D7_0719200.1	16.1	16.1	NEK4	PF3D7_0719200	1.75	1.64	1.58	2.52	2.4	1.82	2.47	1.21	0.11	0.08	0.1	0.45	1.54	1.62	2.47	0.56	
PF3D7_0719300	PF3D7_0719300.1	58.8	58.8	ARP6	PF3D7_0719300	18.18	67.43	87.8	90	104.45	100.09	88.05	52.72	1.15	3.47	5.65	16.22	67.22	89.3	88.05	24.44	
PF3D7_0719400	PF3D7_0719400.1	59.6	59.6	N/A	PF3D7_0719400	18.89	9.39	7.67	7.35	15.28	33.7	83.05	114.11	1.2	0.48	0.49	1.32	9.83	30.07	83.05	52.89	
PF3D7_0719500	PF3D7_0719500.1	76.7	76.7	N/A	PF3D7_0719500	50.16	14.45	5.34	4.63	17.89	54.54	115.3	168.57	3.18	0.74	0.34	0.83	11.51	48.66	115.3	78.13	
PF3D7_0719600	PF3D7_0719600.1	88.5	88.5	N/A	PF3D7_0719600	140.17	714.81	1217.24	1546.49	1631.39	1337.63	1062.1	806.98	8.87	36.8	78.33	278.66	1049.87	1193.34	1062.1	374.03	
PF3D7_0719700	PF3D7_0719700.1	93.8	93.8	RPS10	PF3D7_0719700	292.67	1149.08	1712.67	2011.86	2025.38	1706.02	1567.7	1192.6	18.53	59.16	110.22	362.52	1303.41	1521.99	1567.7	552.76	
PF3D7_0719800	PF3D7_0719800.1	39.5	39.5	N/A	PF3D7_0719800	6.96	11.78	13.91	20.98	23.64	37.49	68.03	83.15	0.44	0.61	0.9	3.78	15.22	33.45	68.03	38.54	
PF3D7_0719900	PF3D7_0719900.1	53.9	53.9	N/A	PF3D7_0719900	14.14	43.65	54.53	49.98	42.9	48.66	74.57	67.41	0.89	2.25	3.51	9.01	27.61	43.41	74.57	31.25	
PF3D7_0720000	PF3D7_0720000.1	39.5	39.5	CSL4	PF3D7_0720000	6.93	14.11	16.2	26.13	24.64	27.39	26.94	24.91	0.44	0.73	1.04	4.71	15.86	24.43	26.94	11.55	
PF3D7_0720100	PF3D7_0720100.1	73.1	73.1	N/A	PF3D7_0720100	40.6	72.42	84.51	82.83	71.03	64	60.32	37.9	2.57	3.73	5.44	14.92	45.71	57.1	60.32	17.57	
PF3D7_0720200	PF3D7_0720200.1	67.5	67.5	N/A	PF3D7_0720200	28.96	78.82	118.05	148.4	145.89	135.46	95.7	63.63	1.83	4.06	7.6	26.74	93.88	120.85	95.7	29.49	
PF3D7_0720300	PF3D7_0720300.1	50.2	50.2	N/A	PF3D7_0720300	11.97	2.86	1.56	2.17	0.79	1.35	0.22	1.79	0.76	0.15	0.1	0.39	0.51	1.2	0.22	0.83	
PF3D7_0720400	PF3D7_0720400.1	33.3	33.3	N/A	PF3D7_0720400	4.97	6.68	15.53	30.54	61.33	71.94	60.69	33.73	0.31	0.34	1	5.5	39.47	64.18	60.69	15.64	
PF3D7_0720500	PF3D7_0720500.1	56.6	56.6	N/A	PF3D7_0720500	16.1	19.59	38.06	40.35	54.58	102.28	121.63	118.25	1.02	1.01	2.45	7.27	35.12	91.24	121.63	54.81	
PF3D7_0720600	PF3D7_0720600.1	68.7	68.7	N/A	PF3D7_0720600	31.24	56.8	89.91	66.89	53.21	130.23	191.36	175.39	1.98	2.92	5.79	12.05	34.24	116.18	191.36	81.29	
PF3D7_0720700	PF3D7_0720700.1	90.3	90.3	N/A	PF3D7_0720700	176.92	184.54	192.28	126.43	45.14	45.11	59.18	123.05	11.2	9.5	12.37	22.78	29.05	40.24	59.18	57.03	
PF3D7_0720800	PF3D7_0720800.1	57.2	57.2	N/A	PF3D7_0720800	16.56	11.78	9.21	18.69	82.23	120.49	115.82	74.08	1.05	0.61	0.59	3.37	52.92	107.49	115.82	34.34	
PF3D7_0720900	PF3D7_0720900.1	45.1	45.1	N/A	PF3D7_0720900	9.19	4.97	3.08	5.03	21.27	43.54	61.38	60.6	0.58	0.26	0.2	0.91	13.69	38.85	61.38	28.09	
PF3D7_0721000	PF3D7_0721000.1	62.3	62.3	N/A	PF3D7_0721000	21.68	33.89	49.91	59.44	63.7	67.48	98.71	102.98	1.37	1.74	3.21	10.71	40.99	60.2	98.71	47.73	
PF3D7_0721100	PF3D7_0721100.1	65.8	65.8	N/A	PF3D7_0721100	26.48	13	22.58	171.76	651.45	1039.07	1169.9	989.23	1.68	0.67	1.45	30.95	419.23	926.98	1169.9	458.5	
PF3D7_0721200	PF3D7_0721200.1	61.2	61.2	N/A	PF3D7_0721200	20.35	26.77	28.92	24.92	19.05	19.23	23.97	27.16	1.29	1.38	1.86	4.49	12.26	17.16	23.97	12.59	
PF3D7_0721300	PF3D7_0721300.1	73.3	73.3	DBP7	PF3D7_0721300	41.4	95.79	132.2	137.66	128.04	95.31	55.51	25.74	2.62	4.93	8.51	24.81	82.4	85.02	55.51	11.93	
PF3D7_0721400	PF3D7_0721400.1	32.3	32.3	N/A	PF3D7_0721400	4.74	3.63	9.44	28.68	54.93	91.16	97.03	109.33	0.3	0.19	0.61	5.17	35.35	81.32	97.03	50.68	
PF3D7_0721500	PF3D7_0721500.1	25.4	25.4	N/A	PF3D7_0721500	3.27	2.31	2.43	3.35	4.81	10.32	21.17	21.67	0.21	0.12	0.16	0.6	3.1	9.21	21.17	10.04	
PF3D7_0721600	PF3D7_0721600.1	92.5	92.5	N/A	PF3D7_0721600	231.88	837.56	1363.5	1738.4	1889.22	1514.13	1053.12	970.16	14.68	43.12	87.75	313.24	1215.79	1350.8	1053.12	449.66	
PF3D7_0721700	PF3D7_0721700.1	23.2	23.2	PSOP1	PF3D7_0721700	2.83	3.15	4.13	3.35	2.36	1.43	1.89	2.34	0.18	0.16	0.27	0.6	1.52	1.28	1.89	1.08	
PF3D7_0721800	PF3D7_0721800.1	81.6	81.6	N/A	PF3D7_0721800	72.7	196.31	340.46	479.25	502.89	627.05	770.54	974.41	4.6	10.11	21.91	86.36	323.63	559.41	770.54	451.63	
PF3D7_0721900	PF3D7_0721900.1	87.2	87.2	N/A	PF3D7_0721900	123.4	72.27	87.42	119.75	136.57	134.1	115.99	195.73	7.81	3.72	5.63	21.58	87.89	119.63	115.99	90.72	
PF3D7_0722000	PF3D7_0722000.1	89.5	89.5	N/A	PF3D7_0722000	158.93	125.94	142.63	148.92	145.82	165.51	167.44	144.16	10.06	6.48	9.18	26.83	93.84	147.66	167.44	66.82	
PF3D7_0722100	PF3D7_0722100.1	43.1	43.1	N/A	PF3D7_0722100	8.32	17.93	28.19	29.47	19.12	27.97	29.3	36.8	0.53	0.92	1.81	5.31	12.31	24.95	29.3	17.06	
PF3D7_0722200	PF3D7_0722200.1	98.8	98.8	RALP1	PF3D7_0722200	1346.08	256.59	38.32	11.48	2.43	2.87	95.64	1261.04	85.21	13.21	2.47	2.07	1.56	2.56	95.64	584.48	
PF3D7_0722300	PF3D7_0722300.1	69.8	69.8	N/A	PF3D7_0722300	33.13	51.94	60.59	55.77	54.01	51.26	43.74	23.97	2.1	2.67	3.9	10.05	34.76	45.73	43.74	11.11	
PF3D7_0722400	PF3D7_0722400.1	84	84	OLA1	PF3D7_0722400	89.58	180.07	247.39	285.89	343.32	342.46	297.69	228.08	5.67	9.27	15.92	51.51	220.94	305.52	297.69	105.71	
PF3D7_0722500	PF3D7_0722500.1	82.4	82.4	CWC15	PF3D7_0722500	77.71	94.57	108.06	127.58	118.69	142.82	144.4	169.69	4.92	4.87	6.95	22.99	76.38	127.42	144.4	78.65	
PF3D7_0722600	PF3D7_0722600.1	83.4	83.4	UTP7	PF3D7_0722600	85.62	128.82	159.15	164.29	162.5	138.97	112.01	74.9	5.42	6.63	10.24	29.6	104.58	123.98	112.01	34.72	
PF3D7_0722700	PF3D7_0722700.1	67.9	67.9	N/A	PF3D7_0722700	29.72	34.93	28.23	39.55	49.67	69.74	83.73	193.28	1.88	1.8	1.82	7.13	31.96	62.22	83.73	89.58	
PF3D7_0722800	PF3D7_0722800.1	20.4	20.4	N/A	PF3D7_0722800	2.4	3	2.71	2.25	1.57	1.58	1.04	1.62	0.15	0.15	0.17	0.41	1.01	1.41	1.04	0.75	
PF3D7_0722900	PF3D7_0722900.1	20.4	20.4	N/A	PF3D7_0722900	2.39	2.3	0.84	1.04	0.53	0.56	1.86	6.1	0.15	0.12	0.05	0.19	0.34	0.5	1.86	2.83	
PF3D7_0723000	PF3D7_0723000.1	58.4	58.4	N/A	PF3D7_0723000	17.78	15.43	18.87	19.9	31.09	29.19	25.74	15.44	1.13	0.79	1.21	3.59	20.01	26.04	25.74	7.16	
PF3D7_0723100	PF3D7_0723100.1	16.8	16.8	N/A	PF3D7_0723100	1.84	0.65	0.64	0.56	0.48	1.15	1.16	1.56	0.12	0.03	0.04	0.1	0.31	1.02	1.16	0.72	
PF3D7_0723200	PF3D7_0723200.1	20.3	20.3	N/A	PF3D7_0723200	2.37	0.84	0.18	0.73	0.23	1.28	0.84	2.27	0.15	0.04	0.01	0.13	0.15	1.14	0.84	1.05	
PF3D7_0723300	PF3D7_0723300.1	72.3	72.3	N/A	PF3D7_0723300	38.94	11.56	2.71	3.22	4.95	9.62	19.88	62.74	2.46	0.6	0.17	0.58	3.18	8.58	19.88	29.08	
PF3D7_0723400	PF3D7_0723400.1	91.3	91.3	N/A	PF3D7_0723400	194.59	324.09	351.04	321.85	268.44	226.3	173.87	77.45	12.32	16.69	22.59	58	172.75	201.88	173.87	35.9	
PF3D7_0723500	PF3D7_0723500.1	20.4	20.4	N/A	PF3D7_0723500	2.39	7.68	10.67	9.63	6.56	5.6	5.43	3.17	0.15	0.4	0.69	1.73	4.22	5	5.43	1.47	
PF3D7_0723600	PF3D7_0723600.1	58.8	58.8	N/A	PF3D7_0723600	18.12	70.52	113.9	109.39	93.64	90.64	62.33	32.55	1.15	3.63	7.33	19.71	60.26	80.86	62.33	15.09	
PF3D7_0723700	PF3D7_0723700.1	21.2	21.2	N/A	PF3D7_0723700	2.5	3.23	3.74	8.62	15.97	18.36	19.11	15.82	0.16	0.17	0.24	1.55	10.28	16.38	19.11	7.33	
PF3D7_0723800	PF3D7_0723800.1	81.6	81.6	N/A	PF3D7_0723800	72.8	20.57	6.75	6.36	23.75	47.55	102.74	149.52	4.61	1.06	0.43	1.15	15.29	42.42	102.74	69.3	
PF3D7_0723900	PF3D7_0723900.1	53.5	53.5	N/A	PF3D7_0723900	13.86	54.84	76.17	84.82	69.45	67.48	83.24	74.86	0.88	2.82	4.9	15.28	44.69	60.2	83.24	34.7	
PF3D7_0724000	PF3D7_0724000.1	24.2	24.2	N/A	PF3D7_0724000	3.03	2.98	4.11	4.09	7.78	10.96	21.11	25.18	0.19	0.15	0.26	0.74	5.01	9.77	21.11	11.67	
PF3D7_0724100	PF3D7_0724100.1	84.3	84.3	N/A	PF3D7_0724100	91.55	130.32	220.08	326.14	433.18	467.3	430.61	240.34	5.8	6.71	14.16	58.77	278.77	416.89	430.61	111.39	
PF3D7_0724200	PF3D7_0724200.1	34.2	34.2	TAP42	PF3D7_0724200	5.24	19.31	30.82	33.23	39.39	44.47	46.03	25.67	0.33	0.99	1.98	5.99	25.35	39.67	46.03	11.9	
PF3D7_0724300	PF3D7_0724300.1	19.4	19.4	COQ3	PF3D7_0724300	2.23	2.96	4.69	5.55	8.98	19.82	25.69	25.79	0.14	0.15	0.3	1	5.78	17.68	25.69	11.95	
PF3D7_0724400	PF3D7_0724400.1	86	86	PAM18	PF3D7_0724400	107.76	168.12	189.89	173.23	176.98	156.47	113.48	79.87	6.82	8.66	12.22	31.21	113.9	139.59	113.48	37.02	
PF3D7_0724500	PF3D7_0724500.1	44.8	44.8	N/A	PF3D7_0724500	9.02	12.02	10.19	9.52	8.14	6.95	6.79	6.98	0.57	0.62	0.66	1.72	5.24	6.2	6.79	3.23	
PF3D7_0724600	PF3D7_0724600.1	26.2	26.2	N/A	PF3D7_0724600	3.43	3.38	4.1	5	10.09	19.02	34.27	41.4	0.22	0.17	0.26	0.9	6.5	16.97	34.27	19.19	
PF3D7_0724700	PF3D7_0724700.1	60.7	60.7	N/A	PF3D7_0724700	19.86	44.28	65.58	63.47	54.14	50.55	43.75	24.9	1.26	2.28	4.22	11.44	34.84	45.1	43.75	11.54	
PF3D7_0724800	PF3D7_0724800.1	84.6	84.6	N/A	PF3D7_0724800	93.37	25.32	5.53	2.68	9.07	34.15	57.82	70.9	5.91	1.3	0.36	0.48	5.84	30.47	57.82	32.86	
PF3D7_0724900	PF3D7_0724900.1	69.5	69.5	N/A	PF3D7_0724900	32.66	14.53	4.5	2.44	1.08	1.13	1.32	2.37	2.07	0.75	0.29	0.44	0.69	1.01	1.32	1.1	
PF3D7_0725000	PF3D7_0725000.1	52.8	52.8	N/A	PF3D7_0725000	13.36	5.77	3.16	9.2	26.67	57.71	92.36	99.94	0.85	0.3	0.2	1.66	17.17	51.49	92.36	46.32	
PF3D7_0725100	PF3D7_0725100.1	59.8	59.8	N/A	PF3D7_0725100	19.13	33.92	40.24	38.79	40.7	41.9	47.99	53.41	1.21	1.75	2.59	6.99	26.19	37.38	47.99	24.76	
PF3D7_0725200	PF3D7_0725200.1	72.1	72.1	N/A	PF3D7_0725200	38.53	74.22	104.56	117.79	111.12	138.41	139.7	144.11	2.44	3.82	6.73	21.22	71.51	123.48	139.7	66.79	
PF3D7_0725300	PF3D7_0725300.1	71.7	71.7	N/A	PF3D7_0725300	37.78	105.67	116.99	137.22	117.29	80.41	31.75	11.75	2.39	5.44	7.53	24.73	75.48	71.74	31.75	5.44	
PF3D7_0725400	PF3D7_0725400.1	99.7	99.7	N/A	PF3D7_0725400	3325.15	738.13	105.93	27.28	5.02	5.14	18.61	343.45	210.48	38	6.82	4.92	3.23	4.58	18.61	159.19	
PF3D7_0726100	PF3D7_0726100.1	94	94	N/A	PF3D7_0726100	302.71	428.62	313.63	179.13	75.06	44.49	22.97	9.85	19.16	22.07	20.18	32.28	48.3	39.69	22.97	4.57	
PF3D7_0726200	PF3D7_0726200.1	24.3	24.3	FIKK7.1	PF3D7_0726200	3.05	26.21	146.59	281.56	223.04	76.68	22.35	7.25	0.19	1.35	9.43	50.73	143.53	68.41	22.35	3.36	
PF3D7_0726300	PF3D7_0726300.1	36.9	36.9	PMS1	PF3D7_0726300	6.1	9.89	6.37	5.37	4.89	7.88	11.93	14.3	0.39	0.51	0.41	0.97	3.15	7.03	11.93	6.63	
PF3D7_0726400	PF3D7_0726400.1	47.5	47.5	N/A	PF3D7_0726400	10.44	24.84	38.89	32.55	27.76	29.19	45.1	45.8	0.66	1.28	2.5	5.86	17.86	26.04	45.1	21.23	
PF3D7_0726500	PF3D7_0726500.1	66.8	66.8	N/A	PF3D7_0726500	27.97	56.7	72.6	73.34	74.15	96.86	118.44	98.26	1.77	2.92	4.67	13.21	47.72	86.41	118.44	45.54	
PF3D7_0726600	PF3D7_0726600.1	18.5	18.5	N/A	PF3D7_0726600	2.12	1.44	1.33	0.8	6.49	16.96	21.5	21.53	0.13	0.07	0.09	0.15	4.18	15.13	21.5	9.98	
PF3D7_0726700	PF3D7_0726700.1	52.7	52.7	N/A	PF3D7_0726700	13.31	8.26	5.93	18.31	55.83	92.31	106.77	148.63	0.84	0.43	0.38	3.3	35.93	82.35	106.77	68.89	
PF3D7_0726800	PF3D7_0726800.1	32.2	32.2	DAD1	PF3D7_0726800	4.72	1.67	2.73	6.04	24.53	30.08	29.29	28.98	0.3	0.09	0.18	1.09	15.78	26.84	29.29	13.43	
PF3D7_0726900	PF3D7_0726900.1	21.1	21.1	TIM50	PF3D7_0726900	2.48	3	12.53	37.95	71.11	70.35	51.88	27.39	0.16	0.15	0.81	6.84	45.76	62.77	51.88	12.69	
PF3D7_0727000	PF3D7_0727000.1	35.5	35.5	VPS53	PF3D7_0727000	5.64	12.4	12.21	18.79	28.88	49.37	72.99	59.75	0.36	0.64	0.79	3.39	18.58	44.05	72.99	27.69	
PF3D7_0727100	PF3D7_0727100.1	19.7	19.7	N/A	PF3D7_0727100	2.29	1.49	0.92	1.77	7.06	13.73	25.2	32.77	0.15	0.08	0.06	0.32	4.54	12.25	25.2	15.19	
PF3D7_0727200	PF3D7_0727200.1	66.9	66.9	NFS	PF3D7_0727200	28.08	52.67	57.78	51.99	57.88	39.52	18.43	9.44	1.78	2.71	3.72	9.37	37.25	35.26	18.43	4.37	
PF3D7_0727300	PF3D7_0727300.1	39.3	39.3	DNMT	PF3D7_0727300	6.87	28.86	39.35	41.9	37.94	38.81	35.4	24	0.43	1.49	2.53	7.55	24.41	34.62	35.4	11.12	
PF3D7_0727400	PF3D7_0727400.1	58.6	58.6	N/A	PF3D7_0727400	17.98	50.63	75.4	127.82	186.93	268.9	287.96	380.36	1.14	2.61	4.85	23.03	120.3	239.89	287.96	176.29	
PF3D7_0727500	PF3D7_0727500.1	18.9	18.9	N/A	PF3D7_0727500	2.16	1.74	1.34	4.1	19.25	29.93	52.76	46.42	0.14	0.09	0.09	0.74	12.39	26.7	52.76	21.52	
PF3D7_0727600	PF3D7_0727600.1	8.1	8.1	N/A	PF3D7_0727600	0.56	0.47	0.51	3.96	12.67	12.89	8.83	4.32	0.04	0.02	0.03	0.71	8.15	11.5	8.83	2	
PF3D7_0727700	PF3D7_0727700.1	17	17	N/A	PF3D7_0727700	1.88	1.54	2.39	6.07	11.88	14.76	18.62	14.36	0.12	0.08	0.15	1.09	7.65	13.17	18.62	6.65	
PF3D7_0727800	PF3D7_0727800.1	28.7	28.7	N/A	PF3D7_0727800	3.98	9.3	27.94	45	55.04	54.43	67.31	47.48	0.25	0.48	1.8	8.11	35.42	48.56	67.31	22.01	
PF3D7_0727900	PF3D7_0727900.1	46.3	46.3	N/A	PF3D7_0727900	9.73	14.74	22.18	19.04	9.32	6.66	11.24	11.14	0.62	0.76	1.43	3.43	6	5.94	11.24	5.17	
PF3D7_0728000	PF3D7_0728000.1	88.6	88.6	N/A	PF3D7_0728000	142.56	311.24	361.33	419.52	436.83	531.73	492.07	348.67	9.02	16.02	23.25	75.59	281.12	474.37	492.07	161.61	
PF3D7_0728100	PF3D7_0728100.1	22	22	N/A	PF3D7_0728100	2.66	2.04	1.15	1.19	5.24	15.9	31.37	26.66	0.17	0.1	0.07	0.21	3.37	14.19	31.37	12.36	
PF3D7_0728200	PF3D7_0728200.1	17.6	17.6	ALP3	PF3D7_0728200	1.97	1.2	0.95	0.35	0.85	5.56	11.36	14.94	0.12	0.06	0.06	0.06	0.55	4.96	11.36	6.93	
PF3D7_0728300	PF3D7_0728300.1	30.3	30.3	N/A	PF3D7_0728300	4.33	3.69	2.47	3.23	9.37	19.16	24.46	36.91	0.27	0.19	0.16	0.58	6.03	17.09	24.46	17.11	
PF3D7_0728400	PF3D7_0728400.1	55.9	55.9	N/A	PF3D7_0728400	15.62	6.79	4.34	4.07	26.66	95.21	151.69	126.1	0.99	0.35	0.28	0.73	17.16	84.94	151.69	58.44	
PF3D7_0728400	PF3D7_0728400.2	55.9	55.9	N/A	PF3D7_0728400	15.62	6.79	4.34	4.07	26.66	95.21	151.69	126.1	0.99	0.35	0.28	0.73	17.16	84.94	151.69	58.44	
PF3D7_0728500	PF3D7_0728500.1	28.8	28.8	N/A	PF3D7_0728500	4.01	1.88	1.82	1.59	4.41	5.89	13.24	14.35	0.25	0.1	0.12	0.29	2.84	5.25	13.24	6.65	
PF3D7_0728600	PF3D7_0728600.1	64.5	64.5	N/A	PF3D7_0728600	24.58	16.71	9.44	7.24	11.47	47.85	125.46	137.82	1.56	0.86	0.61	1.3	7.38	42.69	125.46	63.88	
PF3D7_0728700	PF3D7_0728700.1	26.9	26.9	N/A	PF3D7_0728700	3.58	3.71	2.68	1.99	3.79	6.02	8.52	6.25	0.23	0.19	0.17	0.36	2.44	5.37	8.52	2.9	
